-------------------------------------------------------------------------
data          czas      rozmiar  plik              opis
2017-03-27    23:59      100 kB  DWS024.txt        INVESTOR Gotowkowy  
2017-03-27    23:59       92 kB  DWS025.txt        INVESTOR Gold Otwarty
2017-03-27    23:59       92 kB  DWS026.txt        INVESTOR Niemcy     
2017-03-27    23:59       92 kB  DWS027.txt        INVESTOR Rosja      
2017-03-27    23:59       92 kB  DWS028.txt        INVESTOR Turcja     
2017-03-27    23:59       92 kB  DWS029.txt        INVESTOR Indie i Chiny
2017-03-27    23:59       92 kB  DWS031.txt        INVESTOR Ameryka Lacinska
2017-03-27    23:59       22 kB  DWS034.txt        INVESTOR Obligacji Korporacyjnych
2017-03-27    23:59       22 kB  DWS035.txt        INVESTOR Obligacji Rynkow Wschodzacych Plus
2017-03-27    23:59       22 kB  DWS036.txt        INVESTOR Akcji Spolek Wzrostowych
2017-03-27    23:59       22 kB  DWS037.txt        INVESTOR Bezpiecznego Wzrostu
2017-03-27    23:59       22 kB  DWS038.txt        INVESTOR Akcji Rynkow Wschodzacych
2017-03-27    23:59       51 kB  EQU001.txt        EQUES Akcji         
2017-03-27    23:59       51 kB  EQU002.txt        EQUES Aktywnej Alokacji
2017-03-27    23:59       51 kB  EQU003.txt        EQUES Obligacji     
2017-03-27    23:59       51 kB  EQU004.txt        EQUES Pieniezny     
2017-03-27    23:59      169 kB  KBC001.txt        KBC Aktywny         
2017-03-27    23:59      169 kB  KBC003.txt        KBC Pieniezny       
2017-03-27    23:59      175 kB  KBC004.txt        KBC Stabilny        
2017-03-27    23:59      175 kB  KBC005.txt        KBC Papierow Dluznych
2017-03-27    23:59      111 kB  KBC026.txt        KBC Akcyjny         
2017-03-27    23:59      100 kB  KBC035.txt        KBC Akcji Malych i Srednich Sp. FIO
2017-03-27    23:59       68 kB  KBC064.txt        KBC Globalny Akcyjny
2017-03-27    23:59       67 kB  KBC065.txt        KBC Obligacji Korporacyjnych
2017-03-27    23:59       56 kB  KBC070.txt        KBC Globalny Obligacyjny
2017-03-27    23:59      175 kB  MIL001.txt        MILLENNIUM Akcji    
2017-03-27    23:59      175 kB  MIL003.txt        MILLENNIUM Cyklu Koniunkturalnego
2017-03-27    23:59      175 kB  MIL004.txt        MILLENNIUM Depozytowy
2017-03-27    23:59      151 kB  MIL006.txt        MILLENNIUM Stabilnego Wzrostu
2017-03-27    23:59      105 kB  MIL017.txt        MILLENNIUM Dynamicznych Spolek
2017-03-27    23:59       96 kB  MIL019.txt        MILLENNIUM Absolute Return
2017-03-27    23:59       99 kB  MIL020.txt        MILLENNIUM Obligacji Korporacyjnych
2017-03-27    23:59       97 kB  MIL021.txt        MILLENNIUM Globalny Akcji
2017-03-27    23:59       99 kB  MIL022.txt        MILLENNIUM Globalny Stabilnego Wzrostu
